Ingredient,Quantity,Unit
wine,0.75,l
water,0.75,l
cinnamon stick,1,piece
clove,8,pieces
kardamom,8,pieces
brown sugar,3,tsps
orange,0.5,piece
dried plums,a handful,pieces
