Skill,
blogging: including expressing opinions,
web development: including hosting and jekyll,
entrepreneurship,
accessible content creation: including screen reader and easy-read access,
audio editing,
video editing,
physics: including undergraduate level curriculum,
statistics: including analysis and reporting,
journalism: including capturing and sharing life stories,
